Name,symbol,AssetType,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,Valuation
Kornit Digital Ltd,KRNT,Common Stock,"Kornit Digital Ltd. develops, designs and markets digital printing solutions for the fashion, apparel and home decor segments of the printed textile industry globally. The company is headquartered in Rosh HaAyin, Israel.",1625791,NASDAQ,USD,USA,TECHNOLOGY,PRINTING TRADES MACHINERY & EQUIPMENT,"12 HA'AMAL STREET, AFEK PARK, ROSH-HA'AYIN, IL",December,2021-12-31,4299705000,20101000,270.44,0.89,18.53,0,0,0.32,6.84,0.0482,0.0404,0.0097,0.0216,322006000.0,151911000.0,0.32,-0.843,0.211,158.63,270.44,-,13.35,4.284,10.3,167.86,1.895,181.38,71.39,89.62,127.24,46536700.0,None,None,4170619054.0
Roivant Sciences Ltd. Common Shares,ROIV,Common Stock,None,1635088,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,NONE,March,2021-12-31,3349629000,None,None,None,2.696,0,0,-4.517,0.255,0.0,-20.84,-0.296,-0.536,61209000.0,21738000.0,-4.517,0.0,3.233,14.2,-,-,54.72,-,-,-,None,16.76,4.51,6.15,8.35,692072000.0,None,None,4256242800.0000005
Flowserve Corporation,FLS,Common Stock,"Flowserve Corporation designs, develops, manufactures, distributes and services industrial flow management equipment in the United States, Canada, Mexico, the Middle East, Africa, Asia Pacific and Europe. The company is headquartered in Irving, Texas.",30625,NYSE,USD,USA,TECHNOLOGY,PUMPS & PUMPING EQUIPMENT,"5215 N. O'CONNOR BLVD., SUITE 2300, IRVING, TX, US",December,2021-12-31,4723979000,385185000,37.67,1.92,13.88,0.8,0.0221,0.96,27.18,0.0356,0.0806,0.0354,0.0757,3541060000.0,1066571000.0,0.96,-0.701,-0.067,37.08,37.67,19.19,1.334,2.547,1.536,18.69,1.604,43.38,27.81,32.94,35.24,130402000.0,2022-04-08,2022-03-24,4295441880.0
nCino Inc,NCNO,Common Stock,"nCino, Inc., a software as a service company, provides cloud-based software applications for financial institutions in the United States and internationally. The company is headquartered in Wilmington, North Carolina.",1902733,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"6770 PARKER FARM DRIVE, WILMINGTON, NC, UNITED STATES",January,2022-01-31,4506587000,None,None,None,4.3,0,0,-0.573,2.694,-0.213,-0.213,-0.0613,-0.132,255497000.0,116158000.0,-0.573,0.0,0.291,71.67,-,-,17.64,10.75,16.18,-,None,79.43,37.65,44.85,59.38,96749000.0,None,None,4339192650.0
Gates Industrial Corporation plc,GTES,Common Stock,"Gates Industrial Corporation plc manufactures and sells engineered power transmission and fluid power solutions worldwide. The company is headquartered in Denver, Colorado.",1718512,NYSE,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"1144 FIFTEENTH STREET, DENVER, CO, US",December,2021-12-31,4210521000,710700000,14.86,None,10.64,0,0,1,11.91,0.0855,0.141,0.0408,0.0994,3474400000.0,1340600000.0,1.0,1.614,0.027,19.27,14.86,11.81,1.212,1.443,1.869,9.28,1.619,18.94,14.43,15.47,16.45,283346000.0,None,None,4383362620.0
Varonis Systems Inc,VRNS,Common Stock,None,1361113,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"1250 BROADWAY, 31ST FLOOR, NEW YORK, NY, US",December,2021-12-31,5198302000,-42994000,None,0,5.55,0,0,-1.11,3.705,-0.299,-0.253,-0.0741,-0.338,390134000.0,330735000.0,-1.11,0.0,0.33,57.43,-,303.03,13.32,8.68,11.96,-,1.262,73.46,32.11,40.85,53.84,107514000.0,None,None,4391946900.0
Mandiant Inc.,MNDT,Common Stock,"Mandiant, Inc. is dedicated to providing cyber defense solutions. The company is headquartered in Milpitas, California.",1370880,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","601 MCCARTHY BLVD, MILPITAS, CA, US",December,2021-12-31,5230956000,-112470000,5.89,1.456,6.67,0,0,3.798,2.045,1.895,-0.665,-0.0583,-0.267,483455000.0,229063000.0,3.798,0.0,0.205,20.61,5.89,39.68,10.82,3.413,9.36,-,0.914,23.33,13.76,19.15,18.47,233838000.0,None,None,4477997700.0
BWX Technologies Inc,BWXT,Common Stock,"BWX Technologies, Inc. manufactures and sells nuclear components in the United States, Canada, and internationally. The company is headquartered in Lynchburg, Virginia.",1486957,NYSE,USD,USA,TECHNOLOGY,ENGINES & TURBINES,"800 MAIN STREET, 4TH FLOOR, LYNCHBURG, VA, US",December,2021-12-31,4954843000,469147000,16.72,2.31,6.97,0.84,0.0163,3.24,22.53,0.144,0.189,0.105,0.488,2124074000.0,550277000.0,3.24,0.834,0.063,63.38,16.72,14.18,2.333,7.75,2.868,12.17,0.942,67.64,42.41,49.46,52.94,91452000.0,2022-03-29,2022-03-09,4523215920.0
SPS Commerce Inc,SPSC,Common Stock,"SPS Commerce, Inc. provides cloud-based supply chain management solutions globally. The company is headquartered in Minneapolis, Minnesota.",1092699,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"333 SOUTH SEVENTH STREET, SUITE 1000, MINNEAPOLIS, MN, US",December,2021-12-31,4857795000,79999000,111.5,4.709,13.45,0,0,1.21,10.72,0.116,0.143,0.0603,0.0986,385276000.0,253598000.0,1.21,-0.055,0.233,174.86,111.5,67.11,12.61,9.95,11.89,57.26,0.81,174.42,91.05,125.87,131.43,36005000.0,None,None,4531949350.0
Qualtrics International Inc,XM,Common Stock,"Qualtrics International Inc. provides an experience management platform for organizations to design, manage, and enhance customer, employee, product, and company brand experiences. The company is headquartered in Provo, Utah.",1747748,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"333 WEST RIVER PARK DRIVE, PROVO, UT, US",December,2021-12-31,16374658000,None,None,58.57,3.833,0,0,-2.049,2.081,-0.985,-0.968,-0.282,-1.105,1075664000.0,790392000.0,-2.049,0.0,0.48,42.29,-,1666.67,15.22,7.9,15.37,-,None,49.03,22.72,28.78,36.75,158110000.0,None,None,4550405800.0
Liberty Global plc,LBTYA,Common Stock,"Liberty Global plc provides broadband Internet, video, landline telephony and mobile communications services to residential and business customers. The company is headquartered in London, the United Kingdom.",1570585,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"161 HAMMERSMITH ROAD, HAMMERSMITH, GB",December,2021-12-31,13716703000,3687500000,1.1,1.61,49.18,0,0,23.59,18.56,1.302,0.129,0.0157,0.696,10311300000.0,7293700000.0,23.59,0.58,-0.42,39.52,1.1,147.06,1.33,0.533,2.604,1.558,1.187,30.58,23.0,26.16,27.55,174320000.0,None,None,4560211200.0
Stevanato Group S.p.A.,STVN,Common Stock,None,1849853,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,5362822000,208810000,34.51,1.645,3.181,0,0,0.587,3.34,0.159,0.193,0.0851,0.233,843920000.0,265405000.0,0.587,0.198,0.125,22.52,34.51,35.71,6.35,5.63,11.29,41.98,None,29.18,14.38,17.23,21.5,264700000.0,None,None,4560781000.0
BlackLine Inc,BL,Common Stock,"BlackLine, Inc. offers cloud-based solutions to automate and streamline accounting and finance operations in the United States and internationally. The company is headquartered in Woodland Hills, California.",1666134,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"21300 VICTORY BOULEVARD, 12TH FLOOR, WOODLAND HILLS, CA, US",December,2021-12-31,4382316000,5765000,None,5.49,5.51,0,0,-1.974,7.3,-0.271,-0.0935,-0.017,-0.256,425706000.0,327835000.0,-1.974,0.0,0.205,109.56,-,136.99,10.29,14.04,10.57,1110.69,0.907,135.0,65.15,77.24,104.3,59293000.0,None,None,4579791320.0
Discovery Inc,DISCA,Common Stock,"Discovery, Inc. is an American multinational mass media factual television company based in New York City. Established in 1985, the company primarily operates a group of factual and lifestyle television brands, such as the namesake Discovery Channel, Animal Planet, Science Channel, and TLC.",1437107,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"8403 COLESVILLE ROAD, SILVER SPRING, MD, US",December,2021-12-31,12744938000,3655000000,18.16,0.592,17.7,0,0,1.378,21.0,0.0825,0.17,0.0378,0.0929,12191000000.0,7576000000.0,1.378,-0.622,0.104,37.33,18.16,8.42,1.045,1.126,1.964,3.349,1.154,45.47,21.66,27.18,26.95,171543000.0,None,None,4662538740.0
Paycor HCM Inc. Common Stock,PYCR,Common Stock,None,1839439,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"4811 MONTGOMERY ROAD, CINCINNATI, OH, UNITED STATES",June,2021-12-31,5282071000,1857000,None,None,7.41,0,0,-0.837,2.462,-0.34,-0.344,-0.0271,-0.0626,383651000.0,198290000.0,-0.837,0.0,0.2,34.77,-,151.52,13.77,3.972,14.24,408.69,None,39.71,22.76,26.86,30.19,174903000.0,None,None,4697894580.0
ChampionX Corporation,CHX,Common Stock,"ChampionX Corporation provides chemical solutions and engineering equipment and technologies to oil and gas companies around the world. The company is headquartered in The Woodlands, Texas.",1723089,NASDAQ,USD,USA,TECHNOLOGY,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP","2445 TECHNOLOGY FOREST BLVD, BUILDING 4, FLOOR 12, THE WOODLANDS, TX, US",December,2021-12-31,5064103000,421868000,46.13,None,8.73,0,0.0123,0.54,15.26,0.0368,0.06,0.0329,0.0679,3074990000.0,749829000.0,0.54,4.43,0.164,29.13,46.13,19.68,1.647,2.82,1.813,12.62,2.994,30.48,18.26,23.2,23.33,203296000.0,2022-04-29,2022-04-07,4716467200.0
Ziff Davis Inc.,ZD,Common Stock,"J2 Global, Inc. provides Internet services worldwide. The company is headquartered in Los Angeles, California.",1084048,NASDAQ,USD,USA,TECHNOLOGY,TELEGRAPH & OTHER MESSAGE COMMUNICATIONS,"700 S FLOWER STREET, LEGAL DEPT - 15TH FLOOR, LOS ANGELES, CA, US",December,2021-12-31,4677007000,460062000,9.54,0.84,41.48,0,0,10.37,30.87,0.351,0.149,0.0354,0.253,1416722000.0,1228669000.0,10.37,4.822,-0.129,165.71,9.54,13.44,3.301,2.477,3.615,7.51,1.003,147.35,91.65,100.82,113.99,47280700.0,2019-06-04,2019-05-17,4766840174.0
TEGNA Inc,TGNA,Common Stock,"TEGNA Inc. is a media company in the United States. The company is headquartered in Tysons, Virginia.",39899,NYSE,USD,USA,TECHNOLOGY,TELEVISION BROADCASTING STATIONS,"7950 JONES BRANCH DRIVE, MCLEAN, VA, US",December,2021-12-31,4967016000,960914000,10.48,0.976,11.38,0.355,0.0169,2.14,13.5,0.16,0.279,0.0756,0.207,2991093000.0,1392334000.0,2.14,-0.476,-0.174,22.43,10.48,7.34,1.661,1.981,2.76,8.9,0.962,22.96,16.27,21.55,19.68,221544000.0,2022-04-01,2022-03-03,4774273200.0
The Liberty SiriusXM Group,LSXMA,Common Stock,Liberty SiriusXM Group is engaged in the entertainment business in the United States and Canada. ,1560385,NASDAQ,USD,USA,TECHNOLOGY,TELEVISION BROADCASTING STATIONS,"12300 LIBERTY BOULEVARD, ENGLEWOOD, CO, US",December,2021-12-31,17570730000,2557000000,25.78,0.83,24.04,0,0,1.78,25.96,0.0689,0.225,0.0383,0.0719,8696001000.0,4403000000.0,1.78,33.0,0.042,69,25.78,27.78,2.021,1.911,3.553,15.09,1.171,56.26,40.0,47.5,48.42,101022000.0,None,2022-02-10,4798545000.0
Science Applications International Corporation,SAIC,Common Stock,"Science Applications International Corporation provides technical, engineering and business information technology (IT) services primarily in the United States. The company is headquartered in Reston, Virginia.",1571123,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,"12010 SUNSET HILLS ROAD, RESTON, VA, US",January,2022-01-31,5199749000,652000000,19.45,3.67,28.91,1.48,0.016,4.77,128.37,0.0375,0.0703,0.0567,0.175,7394000000.0,859000000.0,4.77,-0.279,0.038,101,19.45,13.48,0.703,3.151,1.042,12.27,0.776,95.98,78.1,86.3,86.47,56050000.0,2022-04-29,2022-04-13,4837115000.0
The Timken Company,TKR,Common Stock,"The Timken Company designs, manufactures and manages engineered bearings and power transmission products and services globally. The company is headquartered in North Canton, Ohio.",98362,NYSE,USD,USA,TECHNOLOGY,BALL & ROLLER BEARINGS,"4500 MT. PLEASANT ST. NW, NORTH CANTON, OH, US",December,2021-12-31,4459579000,713800000,12.45,1.077,30.45,1.19,0.0201,4.79,54.46,0.0893,0.132,0.0669,0.166,4132900000.0,1108700000.0,4.79,0.194,0.13,80.11,12.45,14.01,1.079,2.062,1.462,8.6,1.656,90.92,59.12,64.74,70.72,74788000.0,2022-03-04,2022-02-18,4841775120.0
DLocal Limited Class A Common Shares,DLO,Common Stock,"DLocal Limited operates a worldwide payments platform. The company is headquartered in Montevideo, Uruguay.",1846832,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,9591359000,83580000,130.04,None,0.95,0,0,0.25,0.85,0.319,0.334,0.13,0.479,244120000.0,130443000.0,0.25,0.82,1.201,41.13,130.04,81.3,39.29,34.68,38.48,109.16,None,73.43,22.21,30.26,43.27,160974000.0,None,None,4871073240.0
Teradata Corporation,TDC,Common Stock,"Teradata Corporation is a provider of hybrid cloud analytics software. The company is headquartered in San Diego, California.",816761,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"17095 VIA DEL CAMPO, SAN DIEGO, CA, US",December,2021-12-31,5145211000,383000000,37.83,3.353,4.291,0,0,1.3,17.65,0.0767,0.125,0.0688,0.342,1917000000.0,1197000000.0,1.3,5.33,-0.033,53.75,37.83,27.17,2.684,11.52,2.754,14.39,1.036,59.38,37.35,46.57,48.94,104620000.0,None,None,4872153400.0
Toast Inc.,TOST,Common Stock,"Toast, Inc. operates a cloud-based technology platform for the restaurant industry in the United States and Ireland. The company is headquartered in Boston, Massachusetts.",1650164,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"401 PARK DRIVE, SUITE 801, BOSTON, MA, US",December,2021-12-31,11584294000,None,None,None,2.152,0,0,-1.682,5.89,-0.286,-0.13,-0.111,-0.663,1705000000.0,318000000.0,-1.682,0.0,1.124,33.6,-,-,6.79,10.1,5.78,-,None,69.93,15.82,21.3,35.58,230942000.0,None,None,4919064600.0
Qualys Inc,QLYS,Common Stock,"Qualys, Inc. provides cloud-based information technology (IT), security, and compliance solutions in the United States and internationally. The company is headquartered in Foster City, California.",1107843,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"919 E. HILLSDALE BLVD., FOSTER CITY, CA, US",December,2021-12-31,5482460000,152280000,79.36,3.37,11.17,0,0,1.77,10.54,0.173,0.283,0.0938,0.169,411172000.0,321733000.0,1.77,-0.068,0.158,140.31,79.36,49.51,13.33,12.86,12.79,41.99,0.736,145.5,92.0,128.09,120.85,39029400.0,None,None,4999275846.0
New Relic Inc,NEWR,Common Stock,"New Relic, Inc., a software as a service company, provides a platform for engineers to plan, build, implement and operate software globally. The company is headquartered in San Francisco, California.",1448056,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"188 SPEAR STREET, SUITE 1000, SAN FRANCISCO, CA, UNITED STATES",March,2021-12-31,4457487000,-19028000,None,224.36,5.1,0,0,-4.021,11.79,-0.341,-0.284,-0.0999,-0.592,752438000.0,486084000.0,-4.021,0.0,0.224,111.7,-,3333.33,5.92,13.69,5.84,456.72,1.011,129.7,51.52,75.81,83.37,66174000.0,None,None,5016650940.0
Asana Inc,ASAN,Common Stock,"Asana, Inc. operates a work management platform for individuals, team leaders, and executives in the United States and internationally. The company is headquartered in San Francisco, California.",1477720,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"1550 BRYANT STREET, SUITE 800, SAN FRANCISCO, CA, US",January,2022-01-31,7566320000,None,None,None,1.083,0,0,-1.635,2.145,-0.762,-0.701,-0.231,-3.018,378437000.0,339540000.0,-1.635,0.0,0.637,57.67,-,-,19.99,40.82,21.84,-,None,145.79,26.0,49.37,79.49,103669000.0,None,None,5118138530.0
Vonage Holdings Corp,VG,Common Stock,"Vonage Holdings Corp. The company is headquartered in Holmdel, New Jersey.",1272830,NASDAQ,USD,USA,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"23 MAIN STREET, HOLMDEL, NJ, US",December,2021-12-31,5172560000,108936000,None,30.34,2.432,0,0,-0.097,5.32,-0.0183,0.0151,0.009,-0.0401,1339063000.0,714506000.0,-0.097,0.0,0.141,20.4,-,121.95,3.863,8.31,3.971,57.64,0.618,20.92,11.99,20.39,17.58,254055000.0,None,None,5180181450.0
Evoqua Water Technologies Corp,AQUA,Common Stock,"Evoqua Water Technologies Corp. The company is headquartered in Pittsburgh, Pennsylvania.",1604643,NYSE,USD,USA,TECHNOLOGY,REFRIGERATION & SERVICE INDUSTRY MACHINERY,"210 SIXTH AVENUE, PITTSBURGH, PA, US",September,2021-12-31,5682367000,227062000,112.49,3.076,4.979,0,0,0.418,12.54,0.0338,0.0743,0.0378,0.0928,1508504000.0,465806000.0,0.418,-0.007,0.137,48.3,112.49,46.08,3.767,9.28,4.12,29.28,1.817,49.38,26.57,42.96,40.44,120850000.0,None,None,5191716000.0
Workiva Inc,WK,Common Stock,"Workiva Inc. provides global cloud-based compliance and regulatory reporting solutions. The company is headquartered in Ames, Iowa.",1445305,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2900 UNIVERSITY BLVD., AMES, IA, US",December,2021-12-31,6356976000,-20844000,None,0,1.419,0,0,-0.738,8.67,-0.0851,-0.061,-0.0226,-0.55,443285000.0,339452000.0,-0.738,0.0,0.287,130.33,-,-,14.34,85.42,13.63,-,1.444,173.24,83.65,108.96,128.42,48066700.0,None,None,5237347632.0
Informatica Inc.,INFA,Common Stock,"Informatica Inc. is dedicated to developing a software platform powered by artificial intelligence. The company is headquartered in Redwood City, California.",1868778,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2100 SEAPORT BLVD., REDWOOD CITY, CA, US",December,2021-12-31,5646283000,257410000,None,None,7.13,0,0,-0.4,5.77,-0.0692,0.0416,0.0075,-0.0634,1444055000.0,1185517000.0,-0.4,0.0,0.08,36.8,-,29.24,3.91,2.872,4.939,21.79,None,40.13,16.2,22.25,28.11,235746000.0,None,None,5245348500.0
Pan American Silver Corp,PAAS,Common Stock,"Pan American Silver Corp. The company is headquartered in Vancouver, Canada.",771992,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,5917689000,580785000,61.11,7.59,12.5,0.34,0.0139,0.46,7.76,0.0597,0.173,0.0509,0.0376,1632750000.0,639116000.0,0.46,-0.925,-0.019,38.99,61.11,34.97,3.624,2.186,3.334,9.87,1.102,35.78,20.73,24.97,25.47,210458000.0,2022-03-21,2022-03-04,5255136260.0
National Instruments Corporation,NATI,Common Stock,"National Instruments Corporation provides a software-centric platform and systems for engineers and scientists around the world. The company is headquartered in Austin, Texas.",935494,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"11500 NORTH MOPAC EXPRESSWAY, AUSTIN, TX, US",December,2021-12-31,5451849000,221559000,61.63,1.042,9.25,1.08,0.0271,0.67,11.11,0.0608,0.0995,0.0457,0.073,1469681000.0,1048693000.0,0.67,8.66,0.144,51,61.63,19.42,3.709,4.462,3.805,27.05,1.085,45.66,36.67,40.04,41.62,132038000.0,2022-02-28,2022-02-04,5286801520.0
Mimecast Limited,MIME,Common Stock,"Mimecast Limited provides cloud security and risk management services for corporate information and email. The company is headquartered in London, the United Kingdom.",1644675,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"ONE ROPEMAKER STREET, LONDON, GB",March,2021-12-31,5324467000,104589000,116.36,1.442,7.59,0,0,0.684,8.78,0.0821,0.113,0.0413,0.111,575275000.0,379690000.0,0.684,0.25,0.169,81.67,116.36,54.95,9.26,10.47,8.88,40.5,1.433,85.48,39.26,79.5,71.16,66899000.0,None,None,5318470500.0
Mobile TeleSystems Public Joint Stock Company,MBT,Common Stock,Mobile TeleSystems Public Joint Stock Company provides telecommunications services primarily in Russia. ,1115837,NYSE,USD,USA,TECHNOLOGY,RADIOTELEPHONE COMMUNICATIONS,"4 MARKSISTSKAYA ST MOSCOW 109147, RUSSIAN FEDERATION, ",December,2021-12-31,4851567000,168349008000,6.03,3262.79,11.75,0,0.185,0.912,631.22,0.119,0.206,0.0713,2.698,534402990000.0,328647000000.0,0.912,0.079,0.118,813.44,6.03,-,0.0091,47.24,0.0138,0.0318,1.06,9.78,5.34,6.4,8.2,831312000.0,2021-11-03,2021-10-08,5320396800.0
NCR Corporation,NCR,Common Stock,"NCR Corporation offers software and services worldwide. The company is headquartered in Atlanta, Georgia.",70866,NYSE,USD,USA,TECHNOLOGY,CALCULATING & ACCOUNTING MACHINES (NO ELECTRONIC COMPUTERS),"864 SPRING STREET NW, ATLANTA, GA, US",December,2021-12-31,5481533000,1081000000,69.38,0.74,9.5,0,0,0.58,54.54,0.0136,0.105,0.0467,0.0686,7156000000.0,1932000000.0,0.58,-0.684,0.247,53,69.38,12.36,0.766,4.571,1.61,11.09,1.63,50.0,34.3,39.57,41.46,136221000.0,None,None,5390264970.0
RBC Bearings Incorporated,ROLL,Common Stock,"RBC Bearings Incorporated manufactures and markets precision engineered bearings and components in North America, Europe, Asia, and Latin America. The company is headquartered in Oxford, Connecticut.",1324948,NASDAQ,USD,USA,TECHNOLOGY,BALL & ROLLER BEARINGS,"ONE TRIBOLOGY CENTER, OXFORD, CT, UNITED STATES",March,2021-12-31,5646780000,184591000,99.67,3.14,81.59,0,0,1.962,28.6,0.0777,0.187,0.0277,0.0327,744353000.0,237977000.0,1.962,-0.695,0.83,235.17,99.67,-,7.59,2.466,9.86,49.96,1.347,250.52,165.99,187.68,207.29,28876400.0,2014-06-13,2014-05-28,5419522752.0
Global-e Online Ltd,GLBE,Common Stock,"Global-E Online Ltd., provides a platform to enable and accelerate direct-to-consumer cross-border e-commerce in Israel, the UK and internationally. The company is headquartered in Petah Tikva, Israel.",1835963,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"25 BASEL STREET, PETAH TIKVA, IL",December,2021-12-31,5335819000,17883000,None,None,4.624,0,0,-0.74,2.411,-0.305,-0.265,-0.0808,-0.195,245274000.0,91433000.0,-0.74,0.0,0.544,69.67,-,-,21.75,7.44,19.13,741.62,None,83.77,24.22,35.2,55.36,155654000.0,None,None,5479020800.0
SentinelOne Inc.,S,Common Stock,"SentinelOne, Inc. is a cybersecurity provider in the United States. The company is headquartered in Mountain View, California.",1583708,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"444 CASTRO STREET, SUITE 400, MOUNTAIN VIEW, CA, US",January,2022-01-31,10377501000,None,None,None,6.21,0,0,-1.558,1.177,-1.324,-1.305,-0.13,-0.278,204799000.0,123122000.0,-1.558,0.0,1.198,48.94,-,-,50.67,6.59,45.14,-,None,78.53,29.3,39.96,51.46,137524000.0,None,None,5495459040.0
Curtiss-Wright Corporation,CW,Common Stock,"Curtiss-Wright Corporation designs, manufactures and repairs precision components and engineering products and services primarily for the aerospace, defense, general industrial and power generation markets worldwide. ",26324,NYSE,USD,USA,TECHNOLOGY,MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT,"13925 BALLANTYNE CORPORATE PLACE, SUITE 400, CHARLOTTE, NC, US",December,2021-12-31,5899343000,530246000,23.33,2.71,47.48,0.71,0.0047,6.58,62.0,0.107,0.166,0.064,0.148,2505931000.0,933356000.0,6.58,0.482,-0.003,168.33,23.33,30.03,2.354,3.227,2.761,13.59,1.439,162.79,110.82,143.41,130.79,38432200.0,2022-04-14,2022-03-30,5511561802.0
Evotec SE American Depositary Shares,EVO,Common Stock,None,1412558,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-09-30,5454280000,83439000,18.63,None,3.01,0,0,0.827,1.746,0.433,0.0743,0.0181,0.338,571473000.0,125743000.0,0.827,0.0,0.234,27,18.63,263.16,9.54,5.0,9.66,20.43,0.999,106.1,12.79,15.97,21.41,353905000.0,None,None,5651862850.0
Wix.com Ltd,WIX,Common Stock,"Wix.com Ltd, develops and markets a cloud-based platform that enables anyone to create a website or web application in North America, Europe, Latin America, Asia, and internationally. The company is headquartered in Tel Aviv, Israel.",1576789,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","40 NAMAL TEL AVIV ST, TEL AVIV, IL",December,2021-12-31,6100407000,-34473000,None,0.09,2.552,0,0,-2.056,22.27,-0.0923,-0.256,-0.103,-0.524,1269657000.0,781562000.0,-2.056,0.0,0.162,137.33,-,500,4.805,41.29,4.513,-,1.411,329.0,70.7,99.83,182.46,56955000.0,None,None,5685817650.0
Bank OZK,OZK,Common Stock,"Bank OZK offers a variety of retail and commercial banking services. The company is headquartered in Little Rock, Arkansas.",1038205,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,5247428000,None,9.42,None,35.85,1.133,0.0285,4.47,9.04,0.496,0.644,0.0216,0.127,1166090000.0,1166090000.0,4.47,0.258,0.148,53.89,9.42,11.56,4.5,1.233,-,-,1.575,51.08,37.27,45.77,44.45,124642000.0,2022-01-21,2022-01-13,5704864340.0
nVent Electric plc,NVT,Common Stock,"nVent Electric plc designs, manufactures, markets, installs and services electrical connection and protection products in the United States, Canada, Western and Eastern Europe included in the European Union, China, Eastern Europe not included in the European Union, America Latin, Middle East, Southeast Asia, Australia and Japan. The company is headquartered in London, the United Kingdom.",1720635,NYSE,USD,USA,TECHNOLOGY,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY),"THE MILLE, 1000  GREAT WEST ROAD, 8TH FLOOR (EAST), LONDON, GB",December,2021-12-31,5837606000,484600000,21.83,1.971,15.03,0.7,0.0199,1.61,14.66,0.111,0.153,0.052,0.111,2462000000.0,941900000.0,1.61,0.43,0.284,42.67,21.83,20,2.371,2.395,2.848,15.2,1.541,39.34,27.27,34.42,34.13,166077000.0,2022-05-06,2022-04-21,5716370340.0
Tenable Holdings Inc,TENB,Common Stock,"Tenable Holdings, Inc. offers cyber exposure solutions in the Americas, Europe, the Middle East, Africa, Asia Pacific, and Japan. The company is headquartered in Columbia, Maryland.",1660280,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"7021 COLUMBIA GATEWAY DRIVE, SUITE 500, COLUMBIA, MD, US",December,2021-12-31,6450673000,-79919000,None,None,1.977,0,0,-0.44,5.09,-0.0863,-0.0644,-0.0225,-0.255,541130000.0,434734000.0,-0.44,0.0,0.262,65.86,-,322.58,11.92,29.41,11.54,-,1.605,59.26,35.53,52.15,48.86,109780000.0,None,None,5725027000.0
